iter	Logloss	Accuracy	Precision
575	0.3295373499	0.8670278389	0.8631966339
576	0.3294769218	0.8670457187	0.8632102613
577	0.3294207468	0.8670576386	0.8632048331
578	0.329363774	0.8670993581	0.8632685599
579	0.3292827392	0.8671172379	0.863247351
580	0.3291641757	0.8671708774	0.863340486
581	0.3290988639	0.8671589575	0.863345921
582	0.3289917646	0.8671768373	0.8633682595
583	0.3289337995	0.8671708774	0.8634014747
584	0.328853589	0.8672423966	0.8634908454
585	0.3288084545	0.8672483565	0.8635099163
586	0.3287661768	0.8673496755	0.8636336383
587	0.3287183624	0.8673377556	0.8636129264
588	0.3286652812	0.8673735152	0.8636488998
589	0.3285721245	0.867397355	0.8636379986
590	0.3285095803	0.8674152348	0.8636690647
591	0.3284127524	0.8674569544	0.8636979485
592	0.3283260948	0.8674986739	0.8637268302
593	0.3282636678	0.8675344335	0.8637802451
594	0.3281971966	0.8675761531	0.8638614752
595	0.3281505211	0.8675463534	0.8638184086
596	0.3280983881	0.8675642332	0.863779688
597	0.327966258	0.8677847509	0.8639971226
598	0.3278844565	0.8678443503	0.8640483384
599	0.3278029138	0.8679039497	0.8640820926
600	0.3277369488	0.8680171885	0.8641741486
601	0.3276723989	0.8680171885	0.864191611
602	0.3276101171	0.8680529481	0.8642363067
603	0.3275039447	0.868058908	0.8642117376
604	0.3273899287	0.8680767878	0.8643389009
605	0.3273148101	0.8681185074	0.8643153427
606	0.3272485062	0.8680708279	0.8642848579
607	0.3272047302	0.8680946676	0.8643175715
608	0.3271629879	0.8681363872	0.8643726395
